"Date","Flow","Flag","Tx","Tn","Rf","Sf","Sm","Pa"
2019-03-21,100,"Ice Conditions",6.57767436892487,0.795348833917185,0.779534886604132,0.706976744186047,2.88115180818198,97.6080465116279
2019-03-22,101,"Ice Conditions",2.07395346331042,-4.47953489547552,0,0.625116296147191,0.765581388390342,96.9347906976744
2019-03-23,101,"Ice Conditions",2.55395346907682,-8.9041860890943,0,0,0.326190473210244,98.1836279069768
2019-03-24,99.5999984741211,"",8.05860470172971,-4.54744182631027,0,0,2.96648349965012,98.06
2019-03-25,94.6999969482422,"",1.39302326052688,-7.52604655554128,0,0,0.281215466023809,98.5622790697674
2019-03-26,88.6999969482422,"",2.82790699337804,-7.60046513136043,0,0,0.197777773605453,99.0883720930233
2019-03-27,82.4000015258789,"",8.2604651362397,-6.69116279912549,0.115348838027133,0,2.18055554032326,99.0966976744186
2019-03-28,75.6999969482422,"",10.5065115773401,-1.22790697937788,0.124651164648145,0,15.2202247448182,97.941488372093
2019-03-29,69.3000030517578,"",8.56418600969536,-0.624186049748299,2.30697674418605,0.644651178980983,5.32023807544084,98.1309302325581
2019-03-30,65.0999984741211,"",2.6799999941227,-1.10558141192725,11.4734882798306,10.4623253223508,3.15999997604725,97.3711162790698
2019-03-31,64.8000030517578,"",0.702325587737006,-4.39162793159485,12.4427909673646,0.729302333329999,0.197674414030341,97.3992558139535
2019-04-01,67.5,"",1.8506976643274,-8.69116281908612,0.0241860468720281,0,0.239999997615814,98.5862790697674
2019-04-02,72,"",7.10930223021396,-1.67534884353017,0,0,7.35767442819684,98.1418604651163
2019-04-03,73.9000015258789,"",5.01023252398469,-1.21069769166237,0.143255811513856,0.14511628483617,3.94790695240331,97.7749302325581
2019-04-04,73.3000030517578,"",3.43860464428746,-5.2660464841266,0.012093023436014,0,0.399530512486265,99.2781395348837
2019-04-05,71.4000015258789,"",3.37162792959879,-4.38744185691656,0.922790724177693,0.297674418604651,0.187142855212802,98.7469302325581
2019-04-06,68.5999984741211,"",10.277674395539,1.11581397915995,0,0,3.1612440113816,98.4868372093023
2019-04-07,65.3000030517578,"",13.2758139233257,3.11720929256705,4.734418528579,0,16.5925532110194,98.3528837209302
2019-04-08,63,"",12.1288372172866,2.71999999866929,2.58790689703337,0,19.3445254303243,97.0503255813953
2019-04-09,62.9000015258789,"",7.0851162422535,1.33627905568411,0.68465118532957,0,4.47159089249643,96.717023255814
2019-04-10,64.9000015258789,"",6.54325581705847,-1.81581394838732,0.102325581395349,0,0.618840572626694,97.7935348837209
2019-04-11,67.4000015258789,"",3.04837209014005,-3.87069764359053,0.0409302331680475,0.0446511634560518,0.000675675635402267,98.5922325581395
2019-04-12,68.5,"",15.4576744035233,1.05395350379999,0.772093033513357,0,7.63243246481225,97.4124651162791
2019-04-13,67.0999984741211,"",12.5962791620299,-0.593953493168188,0.106046515841817,0,8.88181816447865,97.7571627906977
2019-04-14,64.6999969482422,"",3.44325580929601,-1.55069768096125,12.6139531956163,1.14325581165247,4.295628429762,97.5806976744186
2019-04-15,64.4000015258789,"",7.08186041366222,-0.36000000879515,0.177674418965051,0.170232564903969,2.91348835534828,96.4919534883721
2019-04-16,65.5,"",9.21720931918122,-3.00372094220893,0.246511627906977,0,2.66363634530342,98.0147441860465
2019-04-17,67.3000030517578,"",14.0841860660287,-2.71813953477283,2.65162797875183,0,3.66972477939151,98.2442790697674
2019-04-18,68.5999984741211,"",18.5744186223939,5.19488376573075,14.0548835488253,0,15.8999998569489,96.8099534883721
2019-04-19,71.5999984741211,"",9.17488370496173,4.12604643134184,15.9730233258979,0,1.10000002384186,96.7707906976744
2019-04-20,76.3000030517578,"",7.81860471326251,3.40790702354076,9.52558128445648,0,NA,97.0463255813953
2019-04-21,83.9000015258789,"",13.4204650923263,4.06279064444608,0.0204651165840238,0,NA,97.7267441860465
2019-04-22,94.3000030517578,"",18.0241861032885,3.56418601745783,25.4511627906977,0,NA,98.5586046511628
2019-04-23,101,"",15.3688372101895,4.40186049217402,6.86465129852295,0,NA,97.4236279069767
2019-04-24,102,"",10.0395348925923,0.793023255190184,0.290232562464337,0,NA,97.5788837209302
2019-04-25,100,"",16.5748837227045,-1.27069767353147,13.8706977944041,0,NA,97.5361395348837
2019-04-26,99.4000015258789,"",10.6506976682086,2.97767442991567,14.0102324491323,1.78139534883721,0,96.0237674418605
