"Date","Flow","Flag","Tx","Tn","Rf","Sf","Sm","Pa"
1965-09-16,0.187000006437302,"",13.7642857687814,8.27142858505249,0,0,0,98498.5714285714
1965-09-17,0.384999990463257,"",18.2071431023734,7.37142855780465,21.721428326198,0,0,98915
1965-09-18,0.646000027656555,"",25.1285713740758,13.8857139859881,0.0571428579943521,0,0,98899.2857142857
1965-09-19,0.368000000715256,"",28.5714285714286,16.0714288439069,0,0,0,98745.7142857143
1965-09-20,0.272000014781952,"",28.792856488909,18.5428573063442,0,0,0,98367.8571428571
1965-09-21,0.272000014781952,"",29.1071432658604,20.0500001907349,0,0,0,98121.4285714286
1965-09-22,0.272000014781952,"",28.8214280264718,19.5928573608398,9.59285702024187,0,0,98111.4285714286
1965-09-23,0.319999992847443,"",23.2928567613874,17.0214286531721,1.99285709857941,0,0,97955
1965-09-24,0.303000003099442,"",14.5357142857143,8.32857145581927,0,0,0,97852.8571428571
1965-09-25,0.254999995231628,"",16.4214282717024,4.72857134682792,0,0,0,97746.4285714286
1965-09-26,0.23199999332428,"",12.5571427345276,4.21428568022592,0,0,0,98321.4285714286
1965-09-27,0.221000000834465,"",9.86428553717477,-2.87142859186445,0,0,0,99694.2857142857
1965-09-28,0.23199999332428,"",12.5357144219535,1.5071428503309,2.30714285373688,0,0,99037.8571428571
1965-09-29,0.303000003099442,"",12.3142857551575,7.28571435383388,2.94285711220333,0,0,98335
1965-09-30,0.351000010967255,"",17.9285711560931,8.19285712923322,9.88571419034685,0,0,98185
1965-10-01,0.497999995946884,"",18.7999996457781,11.0500001226153,0.142857142857143,0,0,96918.5714285714
1965-10-02,0.456000000238419,"",17.592857497079,3.90000002724784,0.164285719394684,0,0,98072.8571428571
1965-10-03,0.319999992847443,"",10.0214286531721,5.35714285714286,0.528571418353489,0,0,97284.2857142857
1965-10-04,0.254999995231628,"",4.81428572109767,-0.0928571453051908,0,0,0,98450
1965-10-05,0.272000014781952,"",7.12857140813555,-3.07857138769967,0,0,0,98710.7142857143
1965-10-06,0.28600001335144,"",12.1857142448425,-0.414285723652158,0,0,0,98211.4285714286
1965-10-07,0.368000000715256,"",11.3857141222273,4.88571436064584,26.5285714013236,0,0,97130
1965-10-08,1.0900000333786,"",13.1285714421953,8.78571435383388,7.97142849649702,0,0,95522.1428571429
1965-10-09,0.898000001907349,"",13.2285715511867,9.00714295251029,3.83571423803057,0,0,95938.5714285714
1965-10-10,0.646000027656555,"",10.0785715239389,5.63571425846645,0.0642857168401991,0,0,97280.7142857143
1965-10-11,0.479000002145767,"",14.5714288439069,5.99285711560931,0.221428573131561,0,0,97598.5714285714
1965-10-12,0.416000008583069,"",9.44999994550433,2.82857140472957,0.857142857142857,0,0,97492.8571428571
1965-10-13,0.351000010967255,"",10.7000000136239,0.292857151478529,0,0,0,98187.1428571429
1965-10-14,0.319999992847443,"",12.5357143538339,-0.878571423036712,0,0,0,98577.8571428571
1965-10-15,0.368000000715256,"",17.0214286531721,6.13571415628706,4.34999997275216,0,0,97782.8571428571
1965-10-16,0.416000008583069,"",12.0714286395482,1.79999997786113,0,0,0,98997.1428571429
1965-10-17,0.368000000715256,"",12.6571428435189,0.528571431125913,0,0,0,99410.7142857143
1965-10-18,0.333999991416931,"",21.7071431023734,4.80000002043588,0,0,0,99151.4285714286
1965-10-19,0.368000000715256,"",20.3214284351894,7.28571428571429,0,0,0,99045.7142857143
1965-10-20,0.351000010967255,"",18.8714282172067,4.58571430615016,8.98571406091962,0,0,98545
1965-10-21,0.898000001907349,"",14.6142860140119,9.17857136045184,33.5142852238246,0,0,98012.8571428571
1965-10-22,2.65000009536743,"",7.59285715648106,4.36428574153355,17.9428569248744,0,0,97531.4285714286
1965-10-23,2.82999992370605,"",11.4428570611136,4.93571434702192,2.80000003746578,0,0,95963.5714285714
1965-10-24,1.60000002384186,"",5.22857144900731,1.56428572961262,0,0,0,97324.2857142857
1965-10-25,0.980000019073486,"",11.378571169717,-0.592857156481062,0,0,0,97964.2857142857
1965-10-26,0.745000004768372,"",9.24999993188041,2.17142856121063,0,0,0,98097.8571428571
1965-10-27,0.646000027656555,"",8.79999998637608,0.764285721949169,0,4.15714280945914,4.15714280945914,97964.2857142857
1965-10-28,0.646000027656555,"",1.00714286310332,-3.4857142993382,0,2.35714280605316,0,98412.1428571429
1965-10-29,0.646000027656555,"",5.66428569384984,-8.30000005449567,0,0,0,99470
1965-10-30,0.646000027656555,"",11.9571428980146,1.49285714115415,0.214285714285714,0,2.35714280605316,98263.5714285714
1965-10-31,0.694000005722046,"",12.3142856870379,4.64285714285714,7.5214284488133,0,0,97009.2857142857
1965-11-01,0.745000004768372,"",5.57857148987906,-1.17857144560133,1.84999997275216,1.52857141835349,1.52857141835349,98340.7142857143
1965-11-02,0.745000004768372,"",5.37857151031494,-7.92857156481062,0,0,0,99238.5714285714
1965-11-03,0.620000004768372,"",17.8571425846645,-1.30714282819203,0,0,0,98213.5714285714
1965-11-04,0.558000028133392,"",7.75714291845049,1.757142833301,0,0,0,98746.4285714286
1965-11-05,1.03999996185303,"",10.1571429116385,-5.13571422440665,0,0,0,99617.8571428571
1965-11-06,0.950999975204468,"",14.4071429116385,0.10714285873941,3.014285666602,0,0,98695
1965-11-07,0.497999995946884,"",10.8428569521223,5.30714293888637,0,0,0,98755
1965-11-08,0.537999987602234,"",10.7428572518485,0.421428577176162,7.26428576878139,0,0,97948.5714285714
1965-11-09,0.51800000667572,"",0.707142857568605,-3.77142853396279,0,0,0,98617.8571428571
1965-11-10,0.221000000834465,"",3.19285716329302,-5.04999995231628,0,0,0,98976.4285714286
1965-11-11,0.272000014781952,"",3.02857141835349,-1.47857142346246,0,0,0,98902.1428571429
1965-11-12,0.319999992847443,"",9.29999998637608,-1.99999997445515,5.33571423803057,0,0,98511.4285714286
1965-11-13,1.62999999523163,"",7.54999995231628,3.54285711901528,0,0,0,97500.7142857143
1965-11-14,0.671000003814697,"",2.29285715307508,-2.80000002043588,0,0,0,98508.5714285714
1965-11-15,0.398999989032745,"",6.63571419034685,-4.56428565297808,7.74285708154951,0,0,98573.5714285714
1965-11-16,0.28600001335144,"",8.9571431023734,0.36428571918181,11.8357139314924,6.5285712991442,6.5285712991442,96354.2857142857
1965-11-17,2.01999998092651,"",-0.407142861081021,-4.14285710879735,0,2.86428574153355,0,96087.1428571429
1965-11-18,1.37999999523163,"",2.81428568703788,-4.70714279583522,0,0,0,97555.7142857143
1965-11-19,1.23000001907349,"",3.07142855439867,-1.05714285373688,0,0,0,97770
1965-11-20,1.00999999046326,"",4.18571421078273,0.300000006066901,4.271428499903,0,1.5762664152058,97743.5714285714
1965-11-21,1.33000004291534,"",4.84285719054086,1.53571430274418,0,0,1.28801932632775,97138.5714285714
1965-11-22,1.29999995231628,"",4.96428574834551,1.37142855780465,4.94285704408373,0,0,97241.4285714286
1965-11-23,1.14999997615814,"",3.22857141494751,1.22142856461661,2.65714287757874,1.08571427209037,1.01599573646299,97262.8571428571
1965-11-24,1.35000002384186,"",5.41428572790963,-0.707142859697342,0.0357142857142857,0,0.0697185356273783,98210
1965-11-25,1.33000004291534,"",4.86428574153355,0.778571426868439,4.72142846243722,0,0,97966.4285714286
1965-11-26,1.33000004291534,"",8.84999983651297,0.628571442195347,16.2142856461661,0,0,98028.5714285714
1965-11-27,3.45000004768372,"",5.62142852374486,0.250000008514949,0,0.842857139451163,0.842857139451163,95915.7142857143
1965-11-28,2.41000008583069,"",-1.78571428571429,-4.29285717010498,0,2.72857139791761,0,96481.4285714286
1965-11-29,1.29999995231628,"",-0.442857151584966,-6.38571429252625,0,0,0,97132.1428571429
1965-11-30,1.03999996185303,"",0.664285717265947,-7.22142849649702,0,0,0,98276.4285714286
1965-12-01,0.950999975204468,"",2.89285715988704,-3.77142856802259,0,0,0,98180
1965-12-02,0.869000017642975,"",4.21428564616612,-0.778571426868439,2.67142851012094,0,1.3839079801394,98172.8571428571
1965-12-03,0.925999999046326,"",4.5071428503309,-1.26428569214685,0.950000000851495,0,0.845651621769865,97637.8571428571
1965-12-04,1.0900000333786,"",2.52142856802259,-1.69285716329302,0.128571433680398,0,0.0236919155430888,96921.4285714286
1965-12-05,0.925999999046326,"",1.41428570236479,-2.40000001021794,0,2.40714283926146,0,96867.8571428571
1965-12-06,0.843999981880188,"",-0.121428573770182,-5.80714290482657,0,0.0642857168401991,0,97063.5714285714
1965-12-07,0.646000027656555,"",0.307142865444933,-10.0214284488133,0,1.32142856291362,0,98688.5714285714
1965-12-08,0.718999981880188,"",1.84999998126711,-2.83571427209037,0,0,0,98000
1965-12-09,0.718999981880188,"Partial Day",2.97142856461661,-0.964285718543189,0,0,0,98729.2857142857
1965-12-10,0.745000004768372,"Partial Day",3.47142856461661,-2.0142857006618,0,0,0,98950
1965-12-11,0.745000004768372,"Partial Day",-0.592857145837375,-3.06428572109767,2.50391969129175,0,0,98409.2857142857
1965-12-12,0.818000018596649,"Partial Day",4.19999987738473,-5.68571424484253,12.1042424811111,0,0,97801.4285714286
1965-12-13,3.27999997138977,"Partial Day",6.28571442195347,0.15000000542828,0.514285709176745,0,5.3743003710644,96694.2857142857
1965-12-14,2.22000002861023,"Partial Day",3.16428572790963,1.06428572322641,0.0357142857142857,0,0,97095
1965-12-15,1.52999997138977,"",2.21428571428571,0.185714290610382,0,0,0,97462.1428571429
1965-12-16,1.00999999046326,"",0.0571428563977991,-2.06428568703788,0,6.34285708836147,0,97760
1965-12-17,0.950999975204468,"",0.714285718543189,-3.50714288439069,0,0.464285697255816,0,97614.2857142857
1965-12-18,0.925999999046326,"",0.307142866509301,-4.0142857006618,0,0.0928571394511632,0,97585
1965-12-19,0.745000004768372,"",-6.44999997956412,-11.0071428162711,0,0,0,97677.1428571429
1965-12-20,0.620000004768372,"",-2.87142857483455,-13.5071429525103,0,0,0,97538.5714285714
1965-12-21,0.537999987602234,"",-0.235714290823255,-12.635714326586,0,0,0,97717.1428571429
1965-12-22,0.51800000667572,"",2.22142858164651,-8.77857140132359,0,0,0,98415.7142857143
1965-12-23,0.558000028133392,"",5.33571430615016,-2.02142855099269,9.18058590616073,0,0.894947270550219,98604.2857142857
1965-12-24,1.5,"",6.87857151031494,1.65000001021794,9.3214282308306,4.57857138769967,10.4286712141639,97808.5714285714
1965-12-25,3.36999988555908,"",-1.17142857824053,-4.86428584371294,0,7.88571408816746,0.0712312330007323,97160.7142857143
1965-12-26,2.27999997138977,"Partial Day",-6.76428583690098,-15.1642855916704,0,0,0,99210
1965-12-27,1.73000001907349,"Estimated",-2.07857138769967,-15.9571428980146,0,0,0,99059.2857142857
1965-12-28,1.17999994754791,"Partial Day",-0.814285716840199,-5.64285707473755,0,0,0,99285.7142857143
1965-12-29,1.12000000476837,"",4.31428585733686,-5.00000006811959,0,0,0,98829.2857142857
1965-12-30,1.44000005722046,"",9.52142858505249,1.27142855950764,0.300000007663454,0,8.01027817137765,98128.5714285714
1965-12-31,5.44000005722046,"",12.7785715375628,4.27142865317208,2.77857132468905,0,0,97488.5714285714
1966-01-01,4.78999996185303,"",5.10000000681196,-2.08571425506047,0,0,0,98017.8571428571
1966-01-02,1.72000002861023,"",4.14285700661795,-6.40714294569833,2.29285711901528,0,0,98484.2857142857
1966-01-03,1.62999999523163,"",1.57857144730432,-3.41428569384984,0,0,0,97675
1966-01-04,1.12000000476837,"",3.77142855099269,-5.37857154437474,0,0,0,99242.1428571429
1966-01-05,0.925999999046326,"",3.90000006130763,-4.45000004768372,0,0,0,98837.1428571429
1966-01-06,0.898000001907349,"",4.57857135363987,-4.10714282308306,0,2.10714285714286,0,97339.2857142857
1966-01-07,0.796000003814697,"",-4.21428569725582,-10.0999999727522,0,7.31428568703788,0,97330.7142857143
1966-01-08,0.75,"Ice Conditions",-12.3571429252625,-19.5214286531721,0,0,0,98120.7142857143
1966-01-09,0.680000007152557,"Ice Conditions",2.21428571428571,-19.8285710471017,0,0,0,98866.4285714286
1966-01-10,0.579999983310699,"Ice Conditions",3.63571425846645,-8.49285711560931,0,0.785714285714286,0,97482.1428571429
1966-01-11,0.537999987602234,"Ice Conditions",-11.5785713876997,-16.192857333592,0,0,0,98529.2857142857
1966-01-12,0.497999995946884,"Ice Conditions",-9.04999991825649,-24.2000002179827,0,0,0,99607.1428571429
1966-01-13,0.462000012397766,"Ice Conditions",-3.17857142857143,-17.0857139314924,0,2.77142855099269,0,97886.4285714286
1966-01-14,0.430000007152557,"Ice Conditions",-1.82857139621462,-11.5285714013236,0,1.59285715648106,0,97790
1966-01-15,0.407999992370605,"Ice Conditions",-9.0214285169329,-17.8285714558193,0,0,0,98229.2857142857
1966-01-16,0.391000002622604,"Ice Conditions",-8.63571439470564,-23.4642855780465,0,0.371428557804653,0,98324.2857142857
1966-01-17,0.379000008106232,"Ice Conditions",-4.62857134001596,-12.8642857415336,0,0.771428550992693,0,98326.4285714286
1966-01-18,0.368000000715256,"Ice Conditions",-3.71428571428571,-7.02857146944319,0,0.878571425165449,0,98261.4285714286
1966-01-19,0.35699999332428,"Ice Conditions",-4.19999997956412,-7.78571421759469,0,0.0714285714285714,0,98307.8571428571
1966-01-20,0.351000010967255,"Ice Conditions",-1.65000001021794,-6.88571429252625,0,0,0,98940.7142857143
1966-01-21,0.340000003576279,"Ice Conditions",-0.557142862251827,-7.5142857006618,0,0,0,99110.7142857143
1966-01-22,0.337000012397766,"Ice Conditions",-1.39285713434219,-12.6071428571429,0,2.22857139791761,0,98730
1966-01-23,0.331000000238419,"Ice Conditions",-2.65714280945914,-5.43571434702192,0,6.24285703045981,0,97134.2857142857
1966-01-24,0.323000013828278,"Ice Conditions",-5.87857151031494,-10.2999999863761,0,0.0357142857142857,0,98205.7142857143
1966-01-25,0.319999992847443,"Ice Conditions",-13.2714287212917,-20.33571434021,0,0,0,99272.1428571429
1966-01-26,0.314000010490417,"Ice Conditions",-11.4285713604518,-25.33571434021,0,0.378571433680398,0,99127.8571428571
1966-01-27,0.305999994277954,"Ice Conditions",-8.38571439470564,-20.3571425846645,0,1.59285712242126,0,97273.5714285714
1966-01-28,0.296999990940094,"Ice Conditions",-12.9142854554313,-19.7999996457781,0,0,0,97708.5714285714
1966-01-29,0.293999999761581,"Ice Conditions",-10.4785714149475,-22.1214286259242,0,0.414285719394684,0,97959.2857142857
1966-01-30,0.289000004529953,"Ice Conditions",-8.05000019073486,-17.9357140404837,0,5.55714266640799,0,96652.1428571429
1966-01-31,0.28600001335144,"Ice Conditions",-4.87857151031494,-12.0214286531721,0,1.07142857142857,0,96417.8571428571
1966-02-01,0.282999992370605,"Ice Conditions",-4.61428570747375,-8.70000001362392,0,0.214285714285714,0,97396.4285714286
1966-02-02,0.280000001192093,"Ice Conditions",-3.05714287076678,-11.3785715103149,0,2.0142857006618,0,97602.8571428571
1966-02-03,0.277999997138977,"Ice Conditions",-1.52142857653754,-8.80714293888637,0,0.950000000851495,0,98086.4285714286
1966-02-04,0.277999997138977,"Ice Conditions",-2.08571427209037,-9.22857134682792,0,0.442857146263123,0,97938.5714285714
1966-02-05,0.275000005960464,"Ice Conditions",-7.9928572177887,-16.7142859867641,0,0,0,98577.8571428571
1966-02-06,0.272000014781952,"Ice Conditions",-5.30714293888637,-19.0357142857143,0,0,0,98922.1428571429
1966-02-07,0.272000014781952,"Ice Conditions",-4.04285710198539,-14.7428571837289,0,0,0,98828.5714285714
1966-02-08,0.268999993801117,"Ice Conditions",0.628571442195347,-9.89999995912824,2.99811997010929,0.0357142857142857,0,99625
1966-02-09,0.266000002622604,"Ice Conditions",5.66428559167044,-4.57142857142857,0,0,0,99127.8571428571
1966-02-10,2.30999994277954,"",7.12142845562526,0.17857143123235,9.41428579602923,0,13.8935157539018,98134.2857142857
1966-02-11,11.8000001907349,"",4.90000006130763,1.14285717691694,0,0,12.8788030200531,97621.4285714286
1966-02-12,4.53000020980835,"",3.30000002043588,-3.14285707473755,0,0,0.0454139894051611,98219.2857142857
1966-02-13,1.80999994277954,"",0.792857140302658,-3.32857142175947,0.248759562927776,5.21428578240531,0,97148.5714285714
1966-02-14,1.17999994754791,"",-1.22857144900731,-5.77857150350298,0,0,0,97623.5714285714
