:HRUs
 :Attributes      AREA ELEVATION  LATITUDE LONGITUDE  BASIN_ID      LAND_USE_CLASS           VEG_CLASS        SOIL_PROFILE AQUIFER_PROFILE  TERRAIN_CLASS     SLOPE    ASPECT
 :Units            km2         m       deg       deg      none                none                none                none            none           none       deg      degN
  220           2.4696     197.0   43.5056  -79.8598        32     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.522   202.827
  221           1.7136     182.0   43.4860  -79.8254        32              Forest           Deciduous                 Low          [NONE]         [NONE]     4.250   274.469
  222           2.4948     179.1   43.4791  -79.8140        32     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     1.853   233.362
  223           1.9224     229.5   43.6030  -79.8587        33     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.438   235.791
  224           3.0744     234.1   43.6103  -79.8688        33               Urban                Bare                 Low          [NONE]         [NONE]     1.113   226.150
  225           6.6816     212.6   43.5826  -79.8378        33     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.078   214.719
  226          19.0296     228.4   43.5982  -79.8559        33         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.019   204.221
  227           1.8504     178.7   43.4889  -79.7729        34     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.466   176.147
  228           5.0508     187.8   43.4963  -79.7857        34         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     0.953   239.307
  229           0.9756     181.0   43.4886  -79.7689        34              Forest           Deciduous                 Low          [NONE]         [NONE]     7.247    64.019
  230           0.6984     189.3   43.4963  -79.7721        34               Urban                Bare                 Low          [NONE]         [NONE]     1.302   133.912
  231           0.5760     168.8   43.4885  -79.7739        34              Forest           Deciduous             Unknown          [NONE]         [NONE]     8.026   204.936
  232           0.3960     217.9   43.3292  -79.8888        35               Urban                Bare                 Low          [NONE]         [NONE]     6.112   236.702
  233           0.5364     179.4   43.3223  -79.8802        35     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     6.318   211.355
  234           0.1872     183.1   43.3211  -79.8845        35     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     7.868   264.032
  235           0.6336     145.7   43.3188  -79.8821        35              Forest           Deciduous             Unknown          [NONE]         [NONE]     9.202   174.266
  236           0.1620     202.4   43.3251  -79.8918        35     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     3.442   219.660
  237           0.3060     164.0   43.3218  -79.8875        35              Forest           Deciduous                 Low          [NONE]         [NONE]    12.665   263.303
  238           0.3456     208.0   43.3264  -79.8908        35               Urban                Bare                High          [NONE]         [NONE]     3.012   254.970
  239           0.3708     150.6   43.3162  -79.8818        35              Forest           Deciduous                High          [NONE]         [NONE]    16.371    88.746
  240           0.5400     254.0   43.3582  -79.8625        36         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     3.709   260.833
  241           0.6372     195.2   43.3582  -79.8485        36     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.251   251.958
  242           0.2448     228.4   43.3565  -79.8581        36     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     6.153   269.231
  243           1.1484     212.5   43.3564  -79.8539        36              Forest           Deciduous                 Low          [NONE]         [NONE]     4.161   259.517
  244           2.2752     182.8   43.3574  -79.8462        36               Urban                Bare                 Low          [NONE]         [NONE]     2.824   256.842
  245           0.2988     181.1   43.3585  -79.8449        36              Barren                Bare                 Low          [NONE]         [NONE]     2.626   244.694
  246           0.3204     171.7   43.3504  -79.8456        36     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     3.737   264.559
  247           0.5832     178.8   43.3042  -79.9101        37     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     3.243   224.439
  248           0.1764     163.5   43.3027  -79.9059        37              Barren                Bare                 Low          [NONE]         [NONE]     3.228   209.098
  249           0.7560     127.9   43.2959  -79.9008        37     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     6.430   216.745
  250           0.5508     176.9   43.3039  -79.9103        37               Urban                Bare                 Low          [NONE]         [NONE]     2.914   210.057
  251           0.2088     174.0   43.3018  -79.9100        37         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     3.417   235.382
  252           0.3960     151.2   43.2999  -79.9081        37              Forest           Deciduous                 Low          [NONE]         [NONE]     4.959   217.986
  253           0.1908     124.6   43.2954  -79.9002        37              Forest           Deciduous             Unknown          [NONE]         [NONE]     9.691   221.804
  254           0.5148     106.3   43.4820  -79.6668        38               Urban                Bare             Unknown          [NONE]         [NONE]     0.628   281.931
  255           0.0684     106.5   43.4806  -79.6675        38     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.750   241.072
  256           0.0756     105.4   43.4794  -79.6660        38              Barren                Bare             Unknown          [NONE]         [NONE]     1.380   236.328
  257           5.0940     200.8   43.4857  -79.8759        39               Urban                Bare                 Low          [NONE]         [NONE]     1.438   218.838
  258           3.6288     218.0   43.4712  -79.8874        39              Forest           Deciduous                 Low          [NONE]         [NONE]     3.295   261.734
  259          25.8084     192.8   43.4623  -79.8665        39         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.147   241.786
  260           2.8188     224.7   43.4723  -79.8834        39     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     4.680   239.114
  261           2.0880     195.3   43.4814  -79.8679        39     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.134   210.676
  262          29.4192     315.5   43.5344  -79.9985        40     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.353   249.979
  263           5.4180     350.8   43.5648  -80.0283        40         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     2.791   213.165
  264           4.1184     337.4   43.5496  -80.0177        40              Forest           Deciduous           LowMedium          [NONE]         [NONE]     2.675   228.870
  265           5.0760     344.4   43.5639  -80.0315        40               Swamp     MixedVegetation           LowMedium          [NONE]         [NONE]     0.901   219.251
  266           6.1596     324.2   43.5420  -80.0012        40               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     1.083   203.697
  267          14.0688     323.2   43.5388  -79.9916        40              Forest           Deciduous             Unknown          [NONE]         [NONE]     2.654   221.755
  268           0.3024      87.0   43.3250  -79.8066        41     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     0.975   223.363
  269           1.4436      88.0   43.3255  -79.8065        41               Urban                Bare                High          [NONE]         [NONE]     0.802   236.690
  270           0.0432      91.4   43.3291  -79.8129        41     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.080   194.465
  271           0.2700      87.0   43.3251  -79.8048        41              Barren                Bare                High          [NONE]         [NONE]     0.991   235.702
  272           0.8676     149.0   43.2930  -79.9209        42     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     3.818   189.572
  273           1.0476     103.3   43.2846  -79.9117        42     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     4.884   204.626
  274           0.3528     165.7   43.2971  -79.9179        42               Urban                Bare                 Low          [NONE]         [NONE]     3.166   213.620
  275           0.8352     154.4   43.2943  -79.9183        42         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.673   211.892
  276           1.0512     135.8   43.2924  -79.9170        42              Forest           Deciduous                 Low          [NONE]         [NONE]     3.940   207.926
  277           0.3636     129.7   43.2905  -79.9133        42              Forest           Deciduous             Unknown          [NONE]         [NONE]     7.845   207.639
  278           1.4184     100.8   43.2826  -79.9145        42              Forest           Deciduous                High          [NONE]         [NONE]     5.332   208.850
  279           0.5508      96.7   43.2823  -79.9122        42     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     3.810   186.423
  280           0.5580     161.9   43.4476  -79.7738        43         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     0.952   250.038
  281           3.0816     108.7   43.4247  -79.7178        43     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.187   244.332
  282           1.3752     130.8   43.4363  -79.7319        43               Urban                Bare                 Low          [NONE]         [NONE]     1.129   233.316
  283           3.1140      98.7   43.4201  -79.7107        43               Urban                Bare             Unknown          [NONE]         [NONE]     0.945   239.037
  284           2.2212      84.5   43.4079  -79.7013        43               Urban                Bare                High          [NONE]         [NONE]     0.937   251.589
  285           1.7208     191.7   43.3900  -79.8418        44              Forest           Deciduous                 Low          [NONE]         [NONE]     3.117   269.755
  286           0.9324     202.4   43.3902  -79.8462        44         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.405   266.463
  287           1.5804     162.7   43.3867  -79.8228        44     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.878   247.905
  288           3.1608     122.6   43.3727  -79.7851        44     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.584   239.435
  289           2.2572     147.8   43.3830  -79.8108        44               Urban                Bare                 Low          [NONE]         [NONE]     1.325   245.899
  290           2.8152     105.4   43.3692  -79.7710        44               Urban                Bare             Unknown          [NONE]         [NONE]     1.037   230.798
  291           1.6200      87.0   43.3555  -79.7579        44               Urban                Bare                High          [NONE]         [NONE]     1.191   240.058
  292           0.8676     175.2   43.3367  -79.8538        45              Forest           Deciduous                 Low          [NONE]         [NONE]     5.671   230.598
  293           0.4464     151.7   43.3342  -79.8504        45              Forest           Deciduous             Unknown          [NONE]         [NONE]     4.886   237.372
  294           2.1060     125.2   43.3282  -79.8424        45     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.221   237.214
  295           0.2952     144.7   43.3312  -79.8509        45     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     4.759   249.048
  296           1.3140      93.5   43.3226  -79.8252        45               Urban                Bare                High          [NONE]         [NONE]     1.095   226.232
  297           0.6300      94.1   43.3242  -79.8261        45     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.233   227.792
  298           0.3960     201.2   43.3386  -79.8613        46     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     4.004   201.812
  299           1.1628     130.7   43.3230  -79.8451        46     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.724   225.465
  300           0.6336     220.3   43.3398  -79.8667        46         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     3.089   225.301
  301           0.8208     211.9   43.3372  -79.8644        46              Forest           Deciduous                 Low          [NONE]         [NONE]     5.223   190.112
  302           0.4536     150.6   43.3269  -79.8594        46              Forest           Deciduous             Unknown          [NONE]         [NONE]     5.581   229.608
  303           1.6272      91.5   43.3156  -79.8296        46               Urban                Bare                High          [NONE]         [NONE]     1.548   233.815
  304           0.3888      87.4   43.3127  -79.8286        46     ShortVegetation     MixedVegetation                High          [NONE]         [NONE]     2.535   201.892
  305           2.4984     256.7   43.3278  -79.9725        47         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.265   125.759
  306           0.5508     252.7   43.3259  -79.9720        47              Forest           Deciduous                High          [NONE]         [NONE]     0.775   211.959
  307           1.9008     252.9   43.3236  -79.9912        47     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.388   193.311
  308           0.6624     250.6   43.3253  -79.9753        47               Swamp     MixedVegetation                High          [NONE]         [NONE]     0.197   242.465
  309           0.5724     258.6   43.3313  -79.9702        47               Urban                Bare                High          [NONE]         [NONE]     1.719   224.330
  310           0.5184     253.2   43.3255  -79.9802        47     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.432   108.834
  311           0.4392     250.7   43.3210  -79.9839        47               Swamp     MixedVegetation                 Low          [NONE]         [NONE]     0.111   307.424
  312           3.4524     303.0   43.4309  -80.0826        48     ShortVegetation     ShortVegetation           LowMedium          [NONE]         [NONE]     2.317   253.135
  313          13.0464     300.7   43.4354  -80.0738        48         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     2.259   220.737
  314           3.8124     296.0   43.4313  -80.0692        48              Forest           Deciduous           LowMedium          [NONE]         [NONE]     2.156   208.820
  315           3.7836     297.4   43.4252  -80.0658        48               Urban                Bare           LowMedium          [NONE]         [NONE]     2.570   222.378
  316          16.5816     280.7   43.4138  -80.0439        48     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.168   203.651
  317           2.7864     279.4   43.4120  -80.0555        48               Swamp     MixedVegetation           LowMedium          [NONE]         [NONE]     0.643   222.671
  318           3.2004     271.6   43.3935  -80.0255        48         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.750   195.171
  319           4.1508     161.2   43.4215  -79.8111        49         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.125   242.921
  320           5.9400     110.8   43.4073  -79.7532        49     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.853   238.406
  321           2.6064     145.7   43.4153  -79.7911        49              Forest           Deciduous                 Low          [NONE]         [NONE]     4.496   255.833
  322           1.9620     129.2   43.4140  -79.7835        49              Forest           Deciduous             Unknown          [NONE]         [NONE]    10.088   234.744
  323           1.6596     126.3   43.4076  -79.7636        49               Urban                Bare                 Low          [NONE]         [NONE]     2.803   239.599
  324           1.8396     131.7   43.4088  -79.7677        49     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.499   244.311
  325           1.7028     105.9   43.4079  -79.7335        49               Urban                Bare             Unknown          [NONE]         [NONE]     1.760   235.842
  326           2.9304     257.2   43.3585  -79.9914        50     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     0.935   216.379
  327           1.7712     257.5   43.3616  -79.9852        50               Urban                Bare                High          [NONE]         [NONE]     1.057   144.837
  328           6.9732     259.1   43.3629  -79.9809        50         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.169   121.239
  329           5.6088     259.7   43.3557  -79.9879        50     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.637   186.343
  330           3.9240     253.2   43.3531  -79.9859        50               Swamp     MixedVegetation                High          [NONE]         [NONE]     0.223   140.630
  331           1.4688     251.5   43.3495  -80.0031        50               Swamp     MixedVegetation    WetlandSediments          [NONE]         [NONE]     0.077   140.772
  332           0.4176      87.2   43.2988  -79.8545        51              Forest           Deciduous                High          [NONE]         [NONE]     6.206   222.393
  333           0.2880     102.5   43.3054  -79.8554        51              Barren                Bare                High          [NONE]         [NONE]     1.921   267.062
  334           0.4248      96.8   43.3002  -79.8618        51     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     3.780   207.788
  335           3.4164      97.3   43.3019  -79.8540        51               Urban                Bare                High          [NONE]         [NONE]     2.879   231.822
  336           0.0684      84.5   43.2895  -79.8751        51     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.843   206.222
  337           0.0324      98.3   43.2877  -79.8897        52               Urban                Bare                High          [NONE]         [NONE]    10.241   246.267
  338           0.0720      95.5   43.2842  -79.8906        52              Barren                Bare                High          [NONE]         [NONE]    11.564   247.489
  339           0.1188      94.5   43.2849  -79.8907        52              Forest           Deciduous                High          [NONE]         [NONE]     8.227   252.401
  340           0.0180      76.8   43.2840  -79.8889        52     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.014   314.981
  341           0.0468      94.3   43.2840  -79.8913        52     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     6.853    25.529
  342           1.2240     255.0   43.3586  -79.9258        53     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.227   227.934
  343           2.2932     253.6   43.3521  -79.9324        53         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.216   215.532
  344           0.5148     254.7   43.3556  -79.9280        53               Urban                Bare                High          [NONE]         [NONE]     1.466   164.814
  345           0.4500     253.4   43.3454  -79.9395        53     ShortVegetation     MixedVegetation                High          [NONE]         [NONE]     1.313   225.053
  346           1.5696     252.3   43.3533  -79.9234        53     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.299   246.882
  347           0.5328     247.0   43.3533  -79.9173        53               Swamp     MixedVegetation                High          [NONE]         [NONE]     0.426   221.977
  348           1.0476     256.6   43.3594  -79.9233        53         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.138   233.441
  349           0.5184     256.9   43.3574  -79.9248        53     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.334   248.151
  350           0.2052     251.4   43.3353  -79.9542        54               Urban                Bare                High          [NONE]         [NONE]     1.152   184.380
  351           0.1332     250.2   43.3335  -79.9525        54     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     0.796   312.726
  352           0.0648     251.1   43.3338  -79.9506        54     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.231    19.002
  353           0.1656     251.8   43.3309  -79.9533        54         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.003   350.186
  354           0.0612     250.3   43.3330  -79.9519        54              Forest           Deciduous                High          [NONE]         [NONE]     1.153   303.940
  355           0.0648     252.0   43.3317  -79.9467        54               Urban                Bare                 Low          [NONE]         [NONE]     1.211    95.030
  356           0.0432     251.7   43.3311  -79.9479        54     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.165    88.821
  357           0.0936     251.7   43.3295  -79.9485        54         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.256    33.302
  358           0.1188      92.1   43.3029  -79.8639        55              Forest           Deciduous                High          [NONE]         [NONE]     5.243    73.215
  359           0.2160     102.0   43.3027  -79.8632        55               Urban                Bare                High          [NONE]         [NONE]     5.055   104.821
  360           0.0540      87.3   43.3031  -79.8654        55              Forest           Deciduous           Streambed          [NONE]         [NONE]     3.647   157.575
  361           0.0864      98.7   43.3036  -79.8668        55     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     3.864   256.909
  362           0.0612     101.7   43.3026  -79.8679        55              Barren                Bare                High          [NONE]         [NONE]     5.953   251.436
  363           0.0504      86.5   43.3035  -79.8629        55     ShortVegetation     ShortVegetation           Streambed          [NONE]         [NONE]     1.215   164.551
  364           0.0432      90.1   43.3026  -79.8648        55     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     4.887   185.268
  365           7.3584     237.9   43.5212  -79.9227        56     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.838   281.793
  366           5.7348     226.2   43.5229  -79.9160        56     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.203   269.932
  367           4.7052     226.5   43.5267  -79.9285        56         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.361   268.262
  368           6.5592     214.4   43.5277  -79.9056        56               Urban                Bare                 Low          [NONE]         [NONE]     1.205   235.077
  369           1.8864     246.6   43.5166  -79.9275        56              Forest           Deciduous                 Low          [NONE]         [NONE]     5.818   312.560
  370           9.5256     189.3   43.5295  -79.8116        57     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.454   257.133
  371          14.5836     191.6   43.5217  -79.8075        57         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     0.745   281.076
  372           2.5956     197.8   43.5306  -79.8353        57     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.076   277.716
  373           6.1632     200.9   43.5252  -79.8431        57               Urban                Bare                 Low          [NONE]         [NONE]     0.921   247.211
  374          10.0656     165.5   43.4380  -79.7995        58         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.635   242.699
  375           5.4684     139.9   43.4308  -79.7554        58               Urban                Bare                 Low          [NONE]         [NONE]     1.422   221.395
  376           2.4804     155.7   43.4369  -79.7839        58              Forest           Deciduous                 Low          [NONE]         [NONE]     1.899   233.252
  377           3.1176     118.0   43.4242  -79.7357        58     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.861   252.068
  378           1.4796     146.4   43.4330  -79.7669        58              Barren                Bare                 Low          [NONE]         [NONE]     1.558   231.732
  379           2.4192     140.2   43.4291  -79.7615        58     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.564   242.903
  380           0.5940     261.8   43.3924  -79.9723        59              Forest           Deciduous                High          [NONE]         [NONE]     1.972    81.054
  381           1.9728     263.5   43.3951  -79.9747        59               Urban                Bare                High          [NONE]         [NONE]     1.701   287.111
  382           1.1088     269.0   43.3878  -79.9695        59     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.464    17.859
  383           0.4356     256.5   43.3922  -79.9744        59               Swamp     MixedVegetation                High          [NONE]         [NONE]     1.124   356.333
  384           1.4544     262.5   43.3874  -79.9715        59         Agriculture     ShortVegetation                High          [NONE]         [NONE]     0.975    34.585
  385           0.4248     262.8   43.3893  -79.9747        59     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.654    53.805
  386           3.3480     201.9   43.4354  -79.8929        60         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.558   205.065
  387           4.8456     232.1   43.4168  -79.9276        60     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.836   270.355
  388           1.3500     208.7   43.4275  -79.9088        60              Forest           Deciduous                 Low          [NONE]         [NONE]     6.522   279.169
  389           1.8972     236.7   43.4114  -79.9336        60              Forest           Deciduous                High          [NONE]         [NONE]     7.329     8.844
  390           2.5128     265.7   43.3974  -79.9464        60         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.300   119.015
  391           1.1628     238.1   43.4028  -79.9434        60               Swamp     MixedVegetation                High          [NONE]         [NONE]     4.039   359.777
  392           0.3096     281.1   43.4088  -80.0043        61         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     3.151   188.278
  393           0.5868     271.4   43.4016  -80.0007        61     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.688   193.277
  394           1.6920     270.4   43.3988  -80.0023        61         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.397   218.024
  395           0.3060     270.6   43.3997  -79.9981        61               Urban                Bare                High          [NONE]         [NONE]     1.276   154.217
  396           0.4464     267.2   43.3990  -79.9986        61     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.385   196.511
  397           0.2376     265.8   43.3967  -80.0001        61              Forest           Deciduous                High          [NONE]         [NONE]     1.657   210.052
  398           2.2716     334.2   43.5092  -80.0720        62     ShortVegetation     ShortVegetation           LowMedium          [NONE]         [NONE]     2.313    74.405
  399           4.3128     336.2   43.5210  -80.0678        62              Forest           Deciduous           LowMedium          [NONE]         [NONE]     2.240   220.551
  400           3.2076     322.7   43.5096  -80.0647        62               Swamp     MixedVegetation           LowMedium          [NONE]         [NONE]     0.946   196.660
  401          10.4292     335.4   43.5189  -80.0715        62         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     1.993   242.698
  402           9.1152     322.9   43.5071  -80.0689        62     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.341   224.557
  403           2.0520     330.0   43.5119  -80.0615        62               Urban                Bare           LowMedium          [NONE]         [NONE]     2.422   210.623
  404           1.9080     310.6   43.4906  -80.0695        62               Swamp     MixedVegetation    WetlandSediments          [NONE]         [NONE]     0.249   220.940
  405           3.9204     301.9   43.4429  -80.0243        63         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     3.205   294.253
  406           6.6024     289.0   43.4342  -80.0120        63     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.829   182.992
  407           1.1916     298.7   43.4432  -80.0250        63              Forest           Deciduous           LowMedium          [NONE]         [NONE]     4.093   301.299
  408           3.1716     286.2   43.4348  -80.0103        63              Forest           Deciduous             Unknown          [NONE]         [NONE]     1.306   200.598
  409           2.2752     285.1   43.4356  -80.0153        63               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     0.743   181.417
  410           1.2492     290.4   43.4387  -80.0192        63         Agriculture     ShortVegetation             Unknown          [NONE]         [NONE]     1.906   212.104
  411           2.1348     317.2   43.5342  -79.9679        66              Forest           Deciduous             Unknown          [NONE]         [NONE]     3.989   243.300
  412           0.5544     317.4   43.5378  -79.9691        66               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     2.968   206.504
  413           1.8324     313.4   43.5353  -79.9679        66     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.903   243.996
  414           1.2384     309.2   43.5414  -79.9623        66              noflow                Bare             Unknown          [NONE]         [NONE]     2.768   159.298
  415           1.1628     305.0   43.5340  -79.9678        66           Waterbody                Bare             Unknown          [NONE]         [NONE]     0.596   272.847
  416           2.7612     297.0   43.6102  -79.9602        68     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.164   285.176
  417          17.4024     311.1   43.6027  -79.9714        68     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.388   264.400
  418           6.8652     290.5   43.5957  -79.9555        68         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.345   271.872
  419           5.7636     340.6   43.5971  -79.9815        68              Forest           Deciduous             Unknown          [NONE]         [NONE]     2.934   275.805
  420           2.8332     343.0   43.5959  -79.9871        68               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     1.090   244.995
:EndHRUs
