:HRUs
 :Attributes      AREA ELEVATION  LATITUDE LONGITUDE  BASIN_ID      LAND_USE_CLASS           VEG_CLASS        SOIL_PROFILE AQUIFER_PROFILE  TERRAIN_CLASS     SLOPE    ASPECT
 :Units            km2         m       deg       deg      none                none                none                none            none           none       deg      degN
  50            3.6540     107.5   43.3905  -79.7500         7     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.321   243.857
  51            0.9936     143.6   43.4019  -79.7953         7              Barren                Bare                 Low          [NONE]         [NONE]     1.320   241.390
  52            2.8944     104.2   43.3880  -79.7475         7               Urban                Bare             Unknown          [NONE]         [NONE]     1.204   232.772
  53            1.1592     119.2   43.3372  -79.8305         8     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.604   231.285
  54            1.2744     148.9   43.3431  -79.8401         8               Urban                Bare                 Low          [NONE]         [NONE]     3.625   248.293
  55            0.2664     150.1   43.3415  -79.8422         8              Forest           Deciduous             Unknown          [NONE]         [NONE]     3.718   247.246
  56            0.5112     187.7   43.3435  -79.8518         8              Forest           Deciduous                 Low          [NONE]         [NONE]     5.517   257.644
  57            0.4500     127.6   43.3394  -79.8336         8               Urban                Bare             Unknown          [NONE]         [NONE]     3.665   223.751
  58            0.2592     107.5   43.3383  -79.8277         8              Barren                Bare             Unknown          [NONE]         [NONE]     2.719   230.453
  59            0.4896      96.3   43.3304  -79.8210         8               Urban                Bare                High          [NONE]         [NONE]     1.086   223.096
  60            0.3852      96.6   43.3284  -79.8230         8     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.652   231.749
  61            1.4868     116.4   43.3521  -79.7993         9     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.731   227.923
  62            3.3840     139.1   43.3658  -79.8145         9               Urban                Bare                 Low          [NONE]         [NONE]     1.317   238.511
  63            0.8352     135.8   43.3649  -79.8132         9     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.515   230.513
  64            0.6516     139.2   43.3651  -79.8150         9              Barren                Bare                 Low          [NONE]         [NONE]     1.328   240.822
  65            0.7272      98.3   43.3491  -79.7858         9               Urban                Bare             Unknown          [NONE]         [NONE]     1.183   219.841
  66            2.4660      91.3   43.3448  -79.7844         9               Urban                Bare                High          [NONE]         [NONE]     0.751   229.320
  67            0.3168      83.9   43.3315  -79.7891        10     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.797   202.618
  68            2.5560      88.8   43.3346  -79.7940        10               Urban                Bare                High          [NONE]         [NONE]     0.695   217.710
  69            0.4680      89.2   43.3348  -79.7943        10              Barren                Bare                High          [NONE]         [NONE]     0.770   214.343
  70            0.2844      89.5   43.3353  -79.7939        10     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     0.753   233.042
  71            0.7488     182.5   43.3263  -79.8720        11         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     3.720   221.581
  72            1.1772     140.0   43.3168  -79.8665        11     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.726   219.266
  73            0.5148     186.7   43.3263  -79.8710        11     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     3.385   203.655
  74            1.4148     175.4   43.3242  -79.8709        11              Forest           Deciduous                 Low          [NONE]         [NONE]     5.219   210.572
  75            0.5904     171.7   43.3233  -79.8725        11               Urban                Bare                 Low          [NONE]         [NONE]     4.024   208.859
  76            0.7740     137.3   43.3180  -79.8648        11              Forest           Deciduous             Unknown          [NONE]         [NONE]     4.568   212.511
  77            0.3204     160.0   43.3185  -79.8773        11              Forest           Deciduous                High          [NONE]         [NONE]     4.203   233.482
  78            0.0828     102.5   43.2935  -79.8742        12              Barren                Bare                High          [NONE]         [NONE]     7.303    16.138
  79            0.3060      90.4   43.2937  -79.8750        12              Forest           Deciduous                High          [NONE]         [NONE]    10.107    53.476
  80            0.2376     102.5   43.2943  -79.8721        12               Urban                Bare                High          [NONE]         [NONE]     7.557    48.713
  81            0.2484      83.4   43.2934  -79.8796        12     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     5.683   188.216
  82            0.1512      80.1   43.2949  -79.8756        12              Forest           Deciduous           Streambed          [NONE]         [NONE]     4.313   161.465
  83            0.1368      75.7   43.2946  -79.8760        12             Wetland     ShortVegetation           Streambed          [NONE]         [NONE]     0.525   149.959
  84            0.1188      75.2   43.2915  -79.8799        12           Waterbody                Bare           Streambed          [NONE]         [NONE]     0.335    92.396
  85            0.1548     102.7   43.2909  -79.8753        12     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     6.032    41.860
  86            1.3356     187.0   43.3127  -79.8999        13               Urban                Bare                 Low          [NONE]         [NONE]     3.805   214.013
  87            2.0232     166.1   43.3116  -79.8970        13              Forest           Deciduous                 Low          [NONE]         [NONE]     5.589   222.975
  88            1.2204     176.1   43.3101  -79.8999        13     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     3.915   229.721
  89            1.6920     135.3   43.3054  -79.8850        13     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     5.083   209.328
  90            0.9684     142.7   43.3069  -79.8904        13              Forest           Deciduous             Unknown          [NONE]         [NONE]     7.676   219.892
  91            0.4500     167.1   43.3080  -79.9001        13         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     3.534   232.376
  92            1.2312     110.2   43.3465  -79.8149        14     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.670   221.862
  93            0.5616     132.7   43.3568  -79.8227        14              Barren                Bare                 Low          [NONE]         [NONE]     1.819   223.011
  94            2.6136     131.8   43.3560  -79.8235        14               Urban                Bare                 Low          [NONE]         [NONE]     1.562   226.924
  95            0.6552     132.6   43.3580  -79.8216        14     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.174   222.512
  96            0.7668     103.4   43.3449  -79.8106        14               Urban                Bare             Unknown          [NONE]         [NONE]     0.806   221.917
  97            0.4500      97.9   43.3388  -79.8107        14               Urban                Bare                High          [NONE]         [NONE]     0.946   223.099
  98            0.9864     114.2   43.3599  -79.7876        15     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.205   225.965
  99            1.2780     210.9   43.3779  -79.8471        15              Forest           Deciduous                 Low          [NONE]         [NONE]     4.630   277.017
  100           2.8116     153.2   43.3757  -79.8213        15               Urban                Bare                 Low          [NONE]         [NONE]     1.454   270.220
  101           1.1160     209.9   43.3788  -79.8508        15         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     3.203   273.376
  102           1.5732     167.8   43.3763  -79.8301        15     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.387   277.509
  103           0.6264     149.8   43.3760  -79.8203        15              Barren                Bare                 Low          [NONE]         [NONE]     1.285   258.454
  104           0.9828     103.1   43.3592  -79.7831        15               Urban                Bare             Unknown          [NONE]         [NONE]     1.070   217.126
  105           1.0368      91.3   43.3519  -79.7723        15               Urban                Bare                High          [NONE]         [NONE]     0.799   220.101
  106           3.1680     271.4   43.4015  -79.9094        16         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.817   174.667
  107           0.8928     264.0   43.3981  -79.8972        16     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     3.250   240.744
  108           1.6056     264.3   43.3961  -79.9029        16              Forest           Deciduous                 Low          [NONE]         [NONE]     2.578   242.772
  109           2.9520     253.3   43.3938  -79.9050        16     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.057     8.594
  110           0.7920     270.1   43.3988  -79.9093        16               Urban                Bare                 Low          [NONE]         [NONE]     2.212    26.360
  111           0.7992     245.2   43.4064  -79.9224        16              Forest           Deciduous                High          [NONE]         [NONE]     6.401    11.543
  112           0.9072     257.9   43.4023  -79.8881        16              noflow                Bare                 Low          [NONE]         [NONE]     2.549   133.631
  113           0.8280     258.7   43.3993  -79.9192        16         Agriculture     ShortVegetation                High          [NONE]         [NONE]     2.477   260.574
  114           0.6480     270.6   43.3950  -79.9007        16     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     2.234   155.332
  115           2.0844     278.5   43.4290  -79.9821        17              Forest           Deciduous             Unknown          [NONE]         [NONE]     1.849   248.266
  116           0.9360     278.2   43.4329  -79.9842        17               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     0.900   232.813
  117           1.3824     270.5   43.4212  -79.9751        17     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.514   225.662
  118           0.5400     278.3   43.4278  -79.9837        17         Agriculture     ShortVegetation             Unknown          [NONE]         [NONE]     1.612   228.748
  119           0.5472     269.6   43.4258  -79.9775        17               Swamp     MixedVegetation    WetlandSediments          [NONE]         [NONE]     0.352   187.592
  120           1.3248     267.2   43.4160  -79.9729        17         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.687   235.699
  121           0.6516     268.8   43.4125  -79.9728        17              Forest           Deciduous                High          [NONE]         [NONE]     2.030   256.583
  122           1.0296     268.5   43.4104  -79.9707        17               Urban                Bare                High          [NONE]         [NONE]     1.845   252.972
  123           0.6588     261.2   43.4134  -79.9710        17               Swamp     MixedVegetation                High          [NONE]         [NONE]     1.166   250.101
  124           0.7380     266.2   43.4145  -79.9672        17     ShortVegetation     MixedVegetation                High          [NONE]         [NONE]     1.814   155.310
  125           1.0440     169.3   43.4873  -79.7246        18              Forest           Deciduous                 Low          [NONE]         [NONE]     1.702   230.992
  126           1.6560     181.1   43.4907  -79.7416        18         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.101   239.073
  127           1.7676     146.8   43.4772  -79.7026        18     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.148   225.993
  128           6.8832     162.3   43.4824  -79.7138        18               Urban                Bare                 Low          [NONE]         [NONE]     1.326   215.695
  129           1.4076     161.4   43.4816  -79.7133        18              Barren                Bare                 Low          [NONE]         [NONE]     1.315   215.554
  130           1.6632     158.9   43.4800  -79.7144        18     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.326   225.440
  131           1.9980     143.1   43.4766  -79.6906        18               Urban                Bare             Unknown          [NONE]         [NONE]     2.373   217.847
  132          18.0972     299.2   43.4797  -80.0084        19     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.675   231.111
  133           4.5180     316.1   43.4926  -80.0315        19         Agriculture     ShortVegetation           LowMedium          [NONE]         [NONE]     1.881   173.109
  134           2.1708     315.0   43.4939  -80.0373        19              Forest           Deciduous           LowMedium          [NONE]         [NONE]     2.172   189.161
  135           2.2824     305.3   43.4842  -80.0146        19         Agriculture     ShortVegetation             Unknown          [NONE]         [NONE]     1.691   220.791
  136           2.6424     311.0   43.4942  -80.0434        19               Swamp     MixedVegetation           LowMedium          [NONE]         [NONE]     0.815   184.131
  137           3.6792     293.9   43.4720  -80.0090        19               Swamp     MixedVegetation             Unknown          [NONE]         [NONE]     0.887   219.540
  138           7.0740     293.4   43.4705  -79.9970        19              Forest           Deciduous             Unknown          [NONE]         [NONE]     1.887   241.093
  139           0.9720     196.7   43.4029  -79.8455        20         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.760   263.034
  140           3.8232     112.9   43.3805  -79.7660        20     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.235   237.675
  141           3.8628     141.4   43.3898  -79.7988        20               Urban                Bare                 Low          [NONE]         [NONE]     1.072   235.017
  142           0.9432     182.8   43.3978  -79.8339        20              Forest           Deciduous                 Low          [NONE]         [NONE]     3.388   258.806
  143           1.3032     158.2   43.3930  -79.8125        20     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.833   246.561
  144           3.2364      96.5   43.3742  -79.7506        20               Urban                Bare             Unknown          [NONE]         [NONE]     0.915   232.242
  145           2.9988     255.0   43.3753  -79.9040        21     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     0.983   206.590
  146           0.7020     257.7   43.3709  -79.9041        21               Urban                Bare                 Low          [NONE]         [NONE]     1.294   161.381
  147           0.8388     261.9   43.3776  -79.8868        21     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     1.115   167.662
  148           2.2896     260.7   43.3736  -79.9100        21         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.149   211.000
  149           0.8208     257.0   43.3730  -79.8939        21              Forest           Deciduous                 Low          [NONE]         [NONE]     1.056   209.603
  150           1.5984     259.6   43.3714  -79.9122        21         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.232   216.987
  151           0.7128     251.5   43.3632  -79.9049        21               Urban                Bare                High          [NONE]         [NONE]     1.432   239.832
  152           0.7632     248.5   43.3615  -79.8928        21              Forest           Deciduous                High          [NONE]         [NONE]     1.611    64.514
  153           1.2564     245.3   43.3641  -79.8985        21               Swamp     MixedVegetation                High          [NONE]         [NONE]     0.475   185.851
  154           0.9900     252.0   43.3625  -79.9090        21     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.016   236.941
  155           0.8100     255.5   43.3735  -79.9022        21               Swamp     MixedVegetation                 Low          [NONE]         [NONE]     0.538   221.911
  156           9.8100     285.2   43.4642  -79.9569        22              Forest           Deciduous             Unknown          [NONE]         [NONE]     3.843   199.710
  157           2.7288     253.5   43.4571  -79.9256        22              Forest           Deciduous                 Low          [NONE]         [NONE]     4.037   225.677
  158          14.2056     267.9   43.4650  -79.9404        22     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     2.670   233.223
  159           6.4512     227.9   43.4482  -79.9164        22         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.899   278.393
  160           2.2536     255.1   43.4611  -79.9449        22              Forest           Deciduous                High          [NONE]         [NONE]     3.723   202.767
  161           1.9548     246.7   43.4616  -79.9399        22         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.630   203.051
  162          24.0300     238.0   43.5847  -79.8874        23         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.528   226.730
  163           3.1824     228.8   43.5798  -79.8775        23               Urban                Bare                 Low          [NONE]         [NONE]     1.745   219.588
  164           2.7756     230.5   43.5785  -79.8881        23     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.359   261.215
  165           5.6592     220.5   43.5743  -79.8767        23     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.484   230.689
  166           2.2068     233.9   43.5837  -79.8855        23               Swamp     MixedVegetation                 Low          [NONE]         [NONE]     1.416   226.130
  167           2.5596     232.5   43.5784  -79.8826        23              Forest           Deciduous                 Low          [NONE]         [NONE]     2.330   226.694
  168           4.0716     201.6   43.5732  -79.7833        24     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.144   235.428
  169           2.0700     200.8   43.5718  -79.7797        24              Barren                Bare                 Low          [NONE]         [NONE]     1.337   195.538
  170           7.0992     198.1   43.5685  -79.7714        24               Urban                Bare                 Low          [NONE]         [NONE]     0.860   163.716
  171           9.2592     199.6   43.5611  -79.7841        24         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     0.763   246.008
  172           3.9024     191.7   43.5491  -79.7681        24     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     0.916   249.626
  173           5.0508     232.4   43.5570  -79.9070        25     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.896   258.023
