time_step (min),T201526 100,T201526 2,T201545 100,T201545 2,T201585 100,T201585 2,T204526 100,T204526 2,T204545 100,T204545 2,T204585 100,T204585 2,Tcurrent 100,Tcurrent 2
15.0,0.182954209079071,0.12245782690941809,0.13041014308222998,0.12093345562009716,0.19665983798218178,0.12499844572497665,0.20399075576760595,0.1229659506725298,0.20909052466178935,0.13058780711917706,0.2205650046737304,0.13465279722405654,0.18709777130560212,0.11381972293655451
30.0,0.18632710563237254,0.12451484806952351,0.13306666192802652,0.12296487070766915,0.20028540797066796,0.12709814367263306,0.20775147666327598,0.125031507190144,0.21294526357985433,0.13278139399945132,0.2246312841421485,0.13691466696441523,0.1905470575020871,0.1157316430189752
45.0,0.18984012655846527,0.12665305176717112,0.13584069573680324,0.12507645776177867,0.20406159945397917,0.12928070844284179,0.21166843379342026,0.12717858310231378,0.21696014463825009,0.13506155312931867,0.2288664940391527,0.13926580381037468,0.19413964161989838,0.11771901906990223
60.0,0.1935024734297741,0.1288775653769676,0.13874035421028452,0.127273280330769,0.20799830332084923,0.13155137378727488,0.21575188675095092,0.12941232705902905,0.22114568391972966,0.13743375228995092,0.23328172754948184,0.14171184574644968,0.1978849336293962,0.11978661678191571
75.0,0.19732418403260965,0.13119396720836107,0.1417745157160084,0.12956084728460837,0.21210630931729213,0.13391583374795601,0.22001302749282559,0.13173834051628575,0.22551335318013344,0.13990394013505636,0.23788908597660452,0.1442589265984182,0.2017931986535615,0.12193962097374111
90.0,0.2013162304166798,0.13360833787070447,0.14495292079651279,0.13194516354036523,0.21639741144092284,0.13638029508795313,0.22446408966320064,0.13416272931414852,0.23007569190477284,0.14247860096586606,0.2427017969483245,0.14691373251343265,0.20587565723795365,0.12418368333211305
105.0,0.20549063115001331,0.13612731888720475,0.1482862796785298,0.1344327879466931,0.22088452860548102,0.13895153712137187,0.2291184737561025,0.1366921625340396,0.23484643560001928,0.14516481723656227,0.2477343497487965,0.14968356641124103,0.21014460014818326,0.1265249768910124
120.0,0.20986058024976728,0.1387581797882831,0.15178639628828705,0.1370308995419478,0.2255818432301453,0.1416369801988182,0.23399089087082814,0.1393339398703901,0.23984066314261554,0.147970341102031,0.2530026507540839,0.1525764217589014,0.21461352022059543,0.12897025839242815
135.0,0.21444059576288055,0.1415088951598591,0.15546631180671966,0.13974737364335255,0.2305049609506824,0.14444476435404852,0.23909752837673182,0.14209606899870408,0.24507496658613093,0.15090367658126524,0.2585242025573393,0.15560106729196121,0.21929726430802532,0.13152693989962216
150.0,0.21924669159503196,0.14438823342526064,0.15934047145022134,0.14259086952370126,0.23567109532076813,0.14738383992786197,0.2444562414996625,0.14498735472578517,0.2505676475371672,0.15397417423357496,0.2643183111215279,0.15876714463773567,0.2242122090004841,0.1342031713164218
